['1.17647058823529', '0.99009900990099', '1.19047619047619', '0.746268656716418', '0.72992700729927', '0.34965034965035', '0.173010380622837']
['1.0752688172043', '1.05263157894737', '1.17647058823529', '1.11111111111111', '0.934579439252336', '0.636942675159236', '0.244498777506112']
['1.02040816326531', '1.25', '1.44927536231884', '1.58730158730159', '1.20481927710843', '5.88235294117647', '2.85714285714286']
['0.719424460431655', '0.72463768115942', '1', '0.8', '0.78740157480315', '1.51515151515152', '3.57142857142857']
['0.763358778625954', '0.813008130081301', '1.0752688172043', '0.78125', '0.694444444444444', '1.81818181818182', '3.2258064516129']
['1.04166666666667', '1.06382978723404', '1.11111111111111', '0.564971751412429', '0.854700854700855', '0.317460317460317', '0.172711571675302']
['1.03092783505155', '0.99009900990099', '1.31578947368421', '0.78125', '0.970873786407767', '0.328947368421053', '0.146842878120411']
['0.75187969924812', '0.884955752212389', '0.884955752212389', '0.699300699300699', '0.78740157480315', '2.22222222222222', '3.84615384615385']
['1.20481927710843', '1.01010101010101', '1.14942528735632', '1.02040816326531', '1.03092783505155', '0.403225806451613', '0.219298245614035']
['1.06382978723404', '1.01010101010101', '1.35135135135135', '1.0989010989011', '1.06382978723404', '0.50251256281407', '0.246913580246914']
['1.05263157894737', '0.884955752212389', '0.869565217391304', '0.54054054054054', '0.529100529100529', '0.308641975308642', '0.129032258064516']
['0.847457627118644', '0.943396226415094', '0.826446280991736', '1.14942528735632', '1.47058823529412', '2.85714285714286', '6.25']
['0.952380952380952', '1.03092783505155', '1.03092783505155', '0.72463768115942', '0.961538461538461', '1.23456790123457', '5']
['0.709219858156028', '0.91743119266055', '1.0752688172043', '0.769230769230769', '0.558659217877095', '2.08333333333333', '4.76190476190476']
['0.714285714285714', '0.775193798449612', '1.17647058823529', '0.775193798449612', '0.746268656716418', '1.44927536231884', '6.25']
['0.578034682080925', '1.01010101010101', '3.7037037037037', '2.94117647058824', '1.81818181818182', '12.5', '10']
['1.08695652173913', '2.17391304347826', '0.970873786407767', '0.333333333333333', '0.309597523219814', '0.305810397553517', '0.274725274725275']
['1.20481927710843', '1.0752688172043', '1.21951219512195', '0.943396226415094', '0.769230769230769', '0.485436893203884', '0.24390243902439']
['0.925925925925926', '2', '1.04166666666667', '0.91743119266055', '0.826446280991736', '4.16666666666667', '7.14285714285714']
['1.11111111111111', '0.943396226415094', '1.17647058823529', '1.04166666666667', '1.03092783505155', '0.645161290322581', '0.210526315789474']
['0.952380952380952', '0.99009900990099', '0.970873786407767', '0.775193798449612', '0.862068965517241', '0.341296928327645', '0.169204737732657']
